No.,Date,Time,Millitm,DJB_LATEST:Test:WTPS.HP1RAW.TOT,DJB_LATEST:Test:WTPS.HP1RAW.FLOW
Desc,,,,TOTALIZER,FLOW RATE
1,2025-05-28,12:53:01,700,72924848.000000,23168.000000
2,2025-05-31,01:08:57,643,,28672.000000
3,2025-06-02,22:07:42,555,,20480.000000
4,2025-06-03,18:09:07,200,76567368.000000,
5,2025-06-03,20:09:18,518,76612840.000000,24064.000000
6,2025-06-06,23:44:21,483,,31744.000000
7,2025-06-07,06:09:40,677,,18560.000000
8,2025-06-13,23:35:34,561,81059568.000000,
9,2025-06-14,13:50:47,978,81059568.000000,
10,2025-06-14,13:50:47,994,,22272.000000
11,2025-06-20,09:51:03,263,81059568.000000,
12,2025-06-21,18:07:52,150,,20224.000000
13,2025-06-24,00:10:57,954,,30592.000000
14,2025-06-24,22:22:41,644,88937816.000000,
15,2025-06-25,00:07:46,848,88978968.000000,28672.000000
16,2025-07-03,12:14:15,751,,31360.000000
17,2025-07-04,10:10:26,117,,4224.000000
18,2025-07-05,12:11:46,201,94889232.000000,
19,2025-07-05,14:11:52,336,94936784.000000,24832.000000
20,2025-07-13,20:08:46,575,,20096.000000
21,2025-07-14,04:09:23,319,99966936.000000,
22,2025-07-14,06:09:32,104,13177.000000,
23,2025-07-14,22:10:53,376,,31360.000000
24,2025-07-16,10:08:58,55,1295581.000000,23936.000000
25,2025-07-17,23:10:19,144,,27264.000000
26,2025-07-22,14:14:25,480,,19712.000000
27,2025-07-26,14:31:38,649,7090471.000000,
28,2025-07-26,22:11:38,499,7294369.000000,25600.000000
29,2025-07-31,00:10:04,705,,33280.000000
30,2025-07-31,12:20:42,68,,15744.000000
31,2025-08-06,08:12:59,368,13513200.000000,
32,2025-08-06,10:18:06,768,13567333.000000,21504.000000
33,2025-08-06,11:16:23,345,13567333.000000,
34,2025-08-09,08:12:34,7,,34304.000000
35,2025-08-16,10:10:54,215,,18944.000000
36,2025-08-16,20:06:30,641,19930912.000000,
37,2025-08-18,12:09:04,319,20870464.000000,20480.000000
38,2025-08-18,13:40:38,518,20870464.000000,
39,2025-08-23,06:10:24,168,,17920.000000
40,2025-08-24,09:09:54,619,,26240.000000
41,2025-08-27,12:10:20,181,25855990.000000,
42,2025-08-27,14:07:07,165,,22656.000000
43,2025-08-27,14:07:07,195,25904178.000000,
44,2025-09-01,17:18:24,213,,18816.000000
45,2025-09-03,13:49:44,178,,28544.000000
46,2025-09-07,02:08:42,879,31776672.000000,
47,2025-09-07,04:13:50,642,31822520.000000,
48,2025-09-07,04:13:50,643,,21120.000000
49,2025-09-12,13:13:20,228,,18944.000000
50,2025-09-16,00:07:32,135,,26752.000000
51,2025-09-17,16:12:01,639,37191868.000000,
52,2025-09-17,18:02:07,486,37191868.000000,
53,2025-09-17,18:12:08,89,,25088.000000
54,2025-09-25,13:57:23,143,,99614720.000000
55,2025-09-25,13:57:23,146,100000000.000000,
56,2025-09-26,09:43:30,352,,20864.000000
57,2025-09-28,08:04:53,625,100000000.000000,99614720.000000
58,2025-09-30,10:10:33,955,100000000.000000,99614720.000000
59,2025-10-01,14:01:02,382,,0.000000
60,2025-10-01,14:01:02,415,0.000000,
61,2025-10-13,16:06:36,257,47838312.000000,23680.000000
62,2025-10-14,20:03:09,424,,28928.000000
63,2025-10-16,10:15:14,64,,19840.000000
64,2025-10-18,22:11:15,42,50826312.000000,
65,2025-10-19,20:12:34,390,50826312.000000,23936.000000
66,2025-10-21,10:09:51,789,50826312.000000,
67,2025-10-24,14:03:44,488,,32256.000000
68,2025-10-28,06:08:14,746,,11968.000000
69,2025-10-30,02:10:31,998,57301496.000000,
70,2025-10-30,04:05:37,861,,22016.000000
71,2025-10-30,04:10:38,125,57348272.000000,
72,2025-10-31,22:02:47,463,,26624.000000
73,2025-11-02,00:09:09,265,,21504.000000
74,2025-11-09,06:53:02,108,59384360.000000,
75,2025-11-09,20:13:43,179,,26112.000000
76,2025-11-10,15:34:49,794,59384360.000000,
77,2025-11-18,18:11:20,44,59384360.000000,
78,2025-11-20,06:14:32,51,,26112.000000
79,2025-11-20,10:13:05,75,59384360.000000,
80,2025-11-20,10:13:05,104,,26112.000000
81,2025-11-24,14:43:33,399,,26112.000000
82,2025-11-24,14:43:33,479,59384360.000000,
83,2025-11-28,13:41:00,911,,20608.000000
84,2025-11-28,13:46:01,255,62147500.000000,
85,2025-12-01,12:24:51,189,62147500.000000,20608.000000
86,2025-12-09,12:46:10,717,62147500.000000,
87,2025-12-09,14:21:06,507,,20608.000000
88,2025-12-15,18:19:50,688,,21888.000000
89,2025-12-15,18:29:51,563,83727384.000000,
90,2025-12-18,16:41:47,458,,19072.000000
91,2025-12-19,12:07:46,34,85732200.000000,
92,2025-12-19,12:52:48,545,18858.511719,
93,2025-12-20,11:14:43,580,,26752.000000
94,2025-12-22,10:22:13,975,19208.166016,21504.000000
95,2025-12-22,11:12:18,327,19208.166016,
96,2025-12-24,12:25:04,981,,19840.000000
97,2026-01-01,11:14:11,788,,27392.000000
98,2026-01-01,16:14:36,868,20481.296875,
99,2026-01-01,16:14:36,869,,23552.000000
100,2026-01-02,11:10:50,367,20583.837891,25472.000000
101,2026-01-02,12:05:55,101,,24960.000000
102,2026-01-02,12:10:55,528,20594.882813,
103,2026-01-02,14:21:05,852,20606.634766,26112.000000
104,2026-01-02,16:06:11,775,20617.490234,22400.000000
